Benzyl Penicillin
	Sensitivity {'total': 56, 'correct': 56} 100.00%
	Specificity {'total': 46, 'correct': 46} 100.00%
	Accuracy 100.00%
Paracetamol
	Sensitivity {'total': 60, 'correct': 59} 98.33%
	Specificity {'total': 46, 'correct': 44} 95.65%
	Accuracy 96.99%
Amoxicillin
	Sensitivity {'total': 45, 'correct': 45} 100.00%
	Specificity {'total': 47, 'correct': 47} 100.00%
	Accuracy 100.00%
Quinine
	Sensitivity {'total': 54, 'correct': 54} 100.00%
	Specificity {'total': 42, 'correct': 42} 100.00%
	Accuracy 100.00%
Penicillin Procaine
	Sensitivity {'total': 49, 'correct': 46} 93.88%
	Specificity {'total': 39, 'correct': 39} 100.00%
	Accuracy 96.94%
Sensitivity Total 260/264  98.48%
Specificity Total 218/220  99.09%
Accuracy Total 98.79%
